state,state_abbr,state_order,age_group,age_order,study_participation_pct
New South Wales,NSW,1,15-19 years,1,81.9
New South Wales,NSW,1,20-24 years,2,47.8
New South Wales,NSW,1,25-29 years,3,19.0
New South Wales,NSW,1,30-34 years,4,12.8
New South Wales,NSW,1,35-39 years,5,8.9
New South Wales,NSW,1,40-44 years,6,6.3
New South Wales,NSW,1,45-54 years,7,4.9
New South Wales,NSW,1,55-74 years,8,2.0
Victoria,VIC,2,15-19 years,1,86.1
Victoria,VIC,2,20-24 years,2,47.5
Victoria,VIC,2,25-29 years,3,21.4
Victoria,VIC,2,30-34 years,4,10.2
Victoria,VIC,2,35-39 years,5,7.4
Victoria,VIC,2,40-44 years,6,6.6
Victoria,VIC,2,45-54 years,7,3.9
Victoria,VIC,2,55-74 years,8,1.6
Queensland,QLD,3,15-19 years,1,76.4
Queensland,QLD,3,20-24 years,2,41.2
Queensland,QLD,3,25-29 years,3,15.0
Queensland,QLD,3,30-34 years,4,12.3
Queensland,QLD,3,35-39 years,5,9.5
Queensland,QLD,3,40-44 years,6,6.7
Queensland,QLD,3,45-54 years,7,5.6
Queensland,QLD,3,55-74 years,8,1.3
South Australia,SA,4,15-19 years,1,78.1
South Australia,SA,4,20-24 years,2,45.0
South Australia,SA,4,25-29 years,3,13.8
South Australia,SA,4,30-34 years,4,13.9
South Australia,SA,4,35-39 years,5,10.1
South Australia,SA,4,40-44 years,6,10.2
South Australia,SA,4,45-54 years,7,5.2
South Australia,SA,4,55-74 years,8,1.0
Western Australia,WA,5,15-19 years,1,76.5
Western Australia,WA,5,20-24 years,2,35.9
Western Australia,WA,5,25-29 years,3,16.6
Western Australia,WA,5,30-34 years,4,11.4
Western Australia,WA,5,35-39 years,5,8.1
Western Australia,WA,5,40-44 years,6,6.8
Western Australia,WA,5,45-54 years,7,4.8
Western Australia,WA,5,55-74 years,8,1.8
Tasmania,TAS,6,15-19 years,1,81.9
Tasmania,TAS,6,20-24 years,2,34.6
Tasmania,TAS,6,25-29 years,3,14.8
Tasmania,TAS,6,30-34 years,4,10.6
Tasmania,TAS,6,35-39 years,5,10.1
Tasmania,TAS,6,40-44 years,6,10.0
Tasmania,TAS,6,45-54 years,7,5.7
Tasmania,TAS,6,55-74 years,8,1.6
Northern Territory,NT,7,15-19 years,1,78.3
Northern Territory,NT,7,20-24 years,2,39.7
Northern Territory,NT,7,25-29 years,3,16.5
Northern Territory,NT,7,30-34 years,4,11.9
Northern Territory,NT,7,35-39 years,5,9.3
Northern Territory,NT,7,40-44 years,6,12.2
Northern Territory,NT,7,45-54 years,7,7.3
Northern Territory,NT,7,55-74 years,8,3.7
Australian Capital Territory,ACT,8,15-19 years,1,87.1
Australian Capital Territory,ACT,8,20-24 years,2,48.6
Australian Capital Territory,ACT,8,25-29 years,3,19.6
Australian Capital Territory,ACT,8,30-34 years,4,8.4
Australian Capital Territory,ACT,8,35-39 years,5,5.9
Australian Capital Territory,ACT,8,40-44 years,6,12.3
Australian Capital Territory,ACT,8,45-54 years,7,5.6
Australian Capital Territory,ACT,8,55-74 years,8,2.1
