study_area,full_time_employment_2023,full_time_employment_2024,change_pp,overall_employment_2024,labour_force_participation_2024
Agriculture and environmental studies,82.1,77.8,-4.3,88.5,93.1
Architecture and built environment,78.7,66.6,-12.1,80.4,94.4
Business and management,84.5,78.5,-6.0,88.7,95.9
Communications,64.9,58.3,-6.6,80.9,91.3
Computing and information systems,74.4,67.8,-6.6,80.4,93.7
Creative arts,53.5,48.4,-5.1,79.3,91.1
Dentistry,83.2,85.6,2.4,91.0,94.7
Engineering,89.2,85.5,-3.7,89.5,94.5
Health services and support,78.0,75.4,-2.6,89.6,93.3
Humanities, culture and social sciences,71.8,66.7,-5.1,84.5,90.9
Law and paralegal studies,84.5,79.3,-5.2,88.5,94.4
Medicine,95.6,90.4,-5.2,93.4,91.3
Nursing,86.8,85.5,-1.3,91.7,95.8
Pharmacy,98.4,91.4,-7.0,91.6,95.8
Psychology,72.7,65.5,-7.2,86.9,89.4
Rehabilitation,95.6,94.9,-0.7,95.9,97.2
Science and mathematics,69.8,63.6,-6.2,82.5,87.2
Social work,80.7,77.3,-3.4,88.6,94.7
Teacher education,89.6,86.8,-2.8,92.5,94.4
Tourism hospitality personal services sport and recreation,73.0,69.8,-3.2,88.4,95.0
Veterinary science,92.1,84.7,-7.4,89.2,92.7
